"","genes","log2FoldChange","pvalue","sig"
"98","C6orf201",-0.00243515215988221,0.132502253557757,"No significant"
"99","EXOC6",-0.0234715747118734,0.359806013174145,"No significant"
"100","CYP2A13",-0.00808328016299775,0.460061579759164,"No significant"
"101","CRSP2",0.00400910397360832,0.238441880446061,"No significant"
"102","GPC2",0.0396807464273854,1.94391363421363,"No significant"
"103","ASB11",0.00975075541207016,0.385992137336457,"No significant"
"104","RTN3",-0.0175675371780493,0.791699943885924,"No significant"
"105","ADAM33",0.018598766398938,1.09614090165304,"No significant"
"106","TMEM191B",-0.00168176055743885,0.0752278520162016,"No significant"
"107","LOC643899",-0.000142786504640391,0.00706202496467638,"No significant"
"108","SDHALP1",-0.00809085972168866,0.393688005485885,"No significant"
"109","LOC646717",-0.00218110720729836,0.113668420183338,"No significant"
"110","LOC649150",-0.132998446489385,2.03526057752867,"Down regulated"
"111","WDFY3",-0.00216050496624209,0.117840122869786,"No significant"
"112","KIAA0586",-0.0132164695823622,0.502131306120224,"No significant"
"113","PGBD4",-0.00126912171856652,0.0567130182332563,"No significant"
"114","STK10",0.103255168440118,2.78455287936867,"Up regulated"
"115","GSG1",0.00640272208156478,0.346755422247874,"No significant"
"116","CAT",-0.0611056490616004,0.574416275939112,"No significant"
"117","RESP18",-0.00946072961034883,0.749264602702125,"No significant"
"118","RBM11",0.000526059220758768,0.0210194404742769,"No significant"
"119","RNF2",-0.0123188385553687,0.751737583187427,"No significant"
"120","MBTPS1",0.0702874375198324,2.07223315193423,"No significant"
"121","TGOLN2",0.0571978927370598,1.43431819649558,"No significant"
"122","LOC644689",0.005660647815386,0.273990703210747,"No significant"
"123","TMEM25",0.00114899276525549,0.0433662297930146,"No significant"
"124","CXorf21",0.0127522420690438,0.434701567327374,"No significant"
"125","LOC645643",-0.00297343336234146,0.131740593539221,"No significant"
"126","LOC646537",0.00547965151856378,0.299583439399606,"No significant"
"127","MKL1",0.15988560839463,6.15607029245303,"Up regulated"
"128","ZFYVE16",0.00614399469668392,0.122400596802401,"No significant"
"129","RRAGB",-0.00327561154808009,0.179835165034937,"No significant"
"130","FHOD1",0.124116417040051,5.35919109262781,"Up regulated"
"131","MSH5",-0.00584664053388817,0.314520946819382,"No significant"
"132","MAP3K11",0.195376945765771,5.80333612572364,"Up regulated"
"133","VCX2",-0.00037115627301354,0.0174750885921986,"No significant"
"134","RORC",-0.0154481286618742,0.879073969675733,"No significant"
"135","SLC38A2",-0.0598838673148538,0.694681999855801,"No significant"
"136","GSTM4",0.0250131483003351,0.79587292509158,"No significant"
"137","LOC729269",0.00467850123030633,0.262267188797535,"No significant"
"138","GRIK1",-0.0112054323325594,0.665969225648783,"No significant"
"139","GALNT11",-0.0207524671561004,0.472840656760559,"No significant"
"140","BASP1",0.0902738789403106,1.0552040711134,"No significant"
"141","CCT3",0.00231781690304889,0.0547723153284486,"No significant"
"142","EHD1",0.192128290179705,6.86603404671604,"Up regulated"
"143","RND1",-0.00463433723580486,0.274126016566352,"No significant"
"144","ITSN1",-0.0201232922358709,1.90395992696227,"No significant"
"145","RPS16",0.000429364186340209,0.00483077165859155,"No significant"
"146","KIAA1257",0.00780405110444882,0.373831325550999,"No significant"
"147","UBIAD1",0.00525610494350204,0.119756253929963,"No significant"
"148","EVC",-0.0234874811120012,1.65641237063385,"No significant"
"149","CWF19L1",0.0739042922088871,2.1665058562479,"No significant"
"150","LOC653314",-0.0456509793660533,0.483725270266804,"No significant"
"151","RASL11A",0.00346363317765164,0.135661707045739,"No significant"
"152","LOC645669",-0.00160711476942854,0.0920454168210814,"No significant"
"153","ZNF187",0.0163351053543801,1.40651503666836,"No significant"
"154","OCLN",-0.00246291357645489,0.0750135812340311,"No significant"
"155","SETD8",0.0213927096004598,0.978738151354592,"No significant"
"156","OR6C76",-0.00960786690371407,0.497962812414871,"No significant"
"157","ANK3",0.0098360709053642,0.343897496337239,"No significant"
"158","CTNND1",-0.00160730848633772,0.0757106288987043,"No significant"
"159","SCYL3",-0.0163264177742066,0.657862461707507,"No significant"
"160","TPST1",0.104776197078976,1.40219826406506,"Up regulated"
"161","MGP",0.0100578924337507,0.44833202341657,"No significant"
"162","ABCC5",0.0437326429871341,1.03524523893334,"No significant"
"163","FGFR3",-0.0247791278399205,1.32002443169305,"No significant"
"164","TP53I3",-0.00192967510111952,0.0856258802144314,"No significant"
"165","LOC283767",-0.00534998135245512,0.328431274454695,"No significant"
"166","LOC653648",0.0115234752157134,0.5508731330355,"No significant"
"167","C6orf129",-0.103605714293829,2.7421235836136,"Down regulated"
"168","FAM156A",0.00479017405967852,0.147434414005841,"No significant"
"169","GNG10",-0.0202347856217493,0.562050230415477,"No significant"
"170","SMC1A",0.00605351672817989,0.148816607293064,"No significant"
"171","C15orf23",0.000864458503249566,0.029318525222412,"No significant"
"172","LOC647451",0.00292435963229298,0.154680482017225,"No significant"
"173","PPEF1",-0.000459556773610537,0.0165386255977486,"No significant"
"174","DHX57",0.00831334970802278,0.557172511804998,"No significant"
"175","HRBL",-0.00191008850809737,0.0830722657614822,"No significant"
"176","CSNK1G3",0.00975882058242394,0.189339373660949,"No significant"
"177","UPP2",-0.00959576210145929,0.694980181267528,"No significant"
"178","KCNMB1",0.123133085324204,6.61188213070831,"Up regulated"
"179","SNED1",-0.00733464433129782,0.363817139619964,"No significant"
"180","MGC42105",-0.0282783972992116,3.6272496581334,"No significant"
"181","LOC653658",-0.937033535787863,15.9288426828607,"Down regulated"
"182","ELF4",0.199599172564458,8.36867102995983,"Up regulated"
"183","MPHOSPH10",-0.244338532279903,10.5651155039274,"Down regulated"
